Substance,Source,Specific_Measure,Region,PRUID,Time_Period,Year_Quarter,Aggregator,Disaggregator,Unit,Value
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2021,,,Crude rate,28.0
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2022,,,Crude rate,25.2
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2023,,,Crude rate,28.8
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2024,,,Crude rate,21.7
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2025,,,Crude rate,17.4
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2016,,,Number,83
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2017,,,Number,85
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2018,,,Number,116
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2019,,,Number,115
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2020,,,Number,250
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2021,,,Number,327
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2022,,,Number,297
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2023,,,Number,348
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2024,,,Number,271
Opioids,Deaths,Overall numbers,Saskatchewan,47,By year,2025,,,Number,221
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2016 Q1,,,Number,25
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2016 Q2,,,Number,17
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2016 Q3,,,Number,24
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2016 Q4,,,Number,17
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2017 Q1,,,Number,25
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2017 Q2,,,Number,20
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2017 Q3,,,Number,22
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2017 Q4,,,Number,18
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2018 Q1,,,Number,32
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2018 Q2,,,Number,26
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2018 Q3,,,Number,31
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2018 Q4,,,Number,27
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2019 Q1,,,Number,24
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2019 Q2,,,Number,34
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2019 Q3,,,Number,22
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2019 Q4,,,Number,35
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2020 Q1,,,Number,24
Opioids,Deaths,Overall numbers,Saskatchewan,47,By quarter,2020 Q2,,,Number,70
